ID,left,spell,right,book,type
1,"Harry's wand, tapped the lock, and whispered, '",ALOHOMORA,"!"" The lock clicked and the door swung open --",1 Philosophers Stone,charm
2,"next table, wasn't having much more luck. """,WINGARDIUM LEVIOSA,"!"" he shouted, waving his long arms like",1 Philosophers Stone,charm
3,"of her gown, flicked her wand, and said, """,WINGARDIUM LEVIOSA,"!"" Their feather rose off the desk and",1 Philosophers Stone,charm
4,"the first spell that came into his head: """,WINGARDIUM LEVIOSA,"!"" The club flew suddenly out of the",1 Philosophers Stone,charm
6,", really sorry about this."" She raised her wand. """,PETRIFICUS TOTALUS,"!"" she cried, pointing it at Neville. Neville'",1 Philosophers Stone,attack
8,"and pointed them at their opponent; Snape cried: """,EXPELLIARMUS,"!"" There was a dazzling flash of scarlet light",2 Chamber of Secrets,defensive
9,"pointed his wand straight at Malfoy and shouted, """,RICTUSEMPRA,"!"" A jet of silver light hit Malfoy in",2 Chamber of Secrets,attack
10,"temper. He pulled out his wand and shouted, """,EXPELLIARMUS,"!"" and just as Snape had disarmed Lockhart, so",2 Chamber of Secrets,defensive
11,"camore tree. Harry took out his wand, murmured, """,LUMOS,"!"" and a tiny light appeared at the end",2 Chamber of Secrets,charm
12,"hart had barely raised his, when Harry bellowed, """,EXPELLIARMUS,"!"" Lockhart was blasted backward, falling over hi",2 Chamber of Secrets,defensive
13,"them turned to stare into the darkness ahead. """,LUMOS,"!"" Harry muttered to his wand and it lit",2 Chamber of Secrets,charm
14,"Spellotaped wand high over his head and yelled, """,OBLIVIATE,"!"" The wand exploded with the force of a",2 Chamber of Secrets,charm
15,"was just a stray cat or -- something else. """,LUMOS,","" Harry muttered, and a light appeared at the",3 Prisoner of Azkaban,charm
16,"e charm without wands first. After me, please ...",RIDDIKULUS,"!"" ""Riddikulus!"" said the class together. ""Good,",3 Prisoner of Azkaban,defensive
17,"wands first. After me, please ... Riddikulus!"" """,RIDDIKULUS,"!"" said the class together. ""Good,"" said Professo",3 Prisoner of Azkaban,defensive
18,You will raise your wand -- thus -- and cry ',RIDDIKULUS, -- and concentrate hard on your grandmother's cl,3 Prisoner of Azkaban,defensive
19,"upon him, reaching inside his robes. ""R -- r --",RIDDIKULUS,"! ""squeaked Neville. There was a noise like a",3 Prisoner of Azkaban,defensive
20,"ly, dragging its feet, its stiff arms rising -- """,RIDDIKULUS,"!"" cried Parvati. A bandage unraveled at the mumm",3 Prisoner of Azkaban,defensive
21,hair on Harry's head stand on end -- ',RIDDIKULUS,"!"" shouted Seamus. The banshee made a rasping noi",3 Prisoner of Azkaban,defensive
22,"to creep along the floor like a crab. """,RIDDIKULUS,"!"" yelled Dean. 'There was a snap, and the",3 Prisoner of Azkaban,defensive
23,"a moment, Harry thought Ron had frozen. Then -- """,RIDDIKULUS,"!"" bellowed Ron, and the spider's legs vanished;",3 Prisoner of Azkaban,defensive
24,"the air in front of Lupin, who said, """,RIDDIKULUS,"!"" almosi lazily. Crack! ""Forward, Neville, and",3 Prisoner of Azkaban,defensive
25,"ime Neville charged forward looking determined. """,RIDDIKULUS,"!"" he shouted, and they had a split second'",3 Prisoner of Azkaban,defensive
26,", Hermione tapped them with her wand and said, """,IMPERVIUS,"!"" ""There!"" she said, handing them back to Harry.",3 Prisoner of Azkaban,charm
27,"pitch dark. He held up his wand, muttered, """,LUMOS,"! "" and saw that he was in a very",3 Prisoner of Azkaban,charm
28,"ncantation is this --"" Lupin cleared his throat. """,EXPECTO PATRONUM,"!"" ""Expecto patronum, "" Harry repeated under his",3 Prisoner of Azkaban,defensive
