speaker ID,BNC subset,wordcount,gender,age,age group,YoB
PS05D,1994,6259,male,36,35-44,1958
PS13C,1994,1544,male,35,35-44,1959
PS007,1994,6987,male,79,75-95,1915
PS040,1994,7451,male,38,35-44,1956
PS01A,1994,13306,male,53,45-59,1941
PS1G6,1994,1651,male,16,15-24,1978
PS01T,1994,7025,male,68,60-74,1926
PS147,1994,5924,female,43,35-44,1951
PS1EP,1994,5181,female,21,15-24,1973
PS08A,1994,10061,male,36,35-44,1958
PS028,1994,1442,male,16,15-24,1978
PS0EG,1994,4682,male,18,15-24,1976
PS029,1994,8397,female,29,25-34,1965
PS6RB,1994,2348,female,19,15-24,1975
PS14B,1994,50014,female,53,45-59,1941
PS02G,1994,46080,female,46,45-59,1948
PS01U,1994,12698,female,45,45-59,1949
PS10L,1994,2551,female,48,45-59,1946
PS583,1994,6207,female,29,25-34,1965
PS1CX,1994,15079,female,44,35-44,1950
PS50W,1994,1433,male,16,15-24,1978
PS03S,1994,36387,male,82,75-95,1912
PS50T,1994,37881,male,44,35-44,1950
PS6R9,1994,4621,male,45,45-59,1949
PS1A9,1994,13220,female,61,60-74,1933
PS1E0,1994,6885,male,50,45-59,1944
PS03W,1994,32952,male,41,35-44,1953
PS0K8,1994,4637,male,26,25-34,1968
PS15U,1994,6252,female,58,45-59,1936
PS04B,1994,19639,female,57,45-59,1937
PS0X9,1994,14904,female,25,25-34,1969
PS13T,1994,1376,male,34,25-34,1960
PS0N4,1994,10592,male,53,45-59,1941
PS149,1994,3202,male,53,45-59,1941
PS04U,1994,55618,female,34,25-34,1960
PS0S0,1994,5805,male,45,45-59,1949
PS06F,1994,1401,male,43,35-44,1951
PS0FA,1994,10423,male,18,15-24,1976
PS051,1994,8320,male,34,25-34,1960
PS04X,1994,5175,female,11,0-14,1983
PS05B,1994,24265,female,36,35-44,1958
PS51F,1994,7100,female,14,0-14,1980
PS51S,1994,18975,female,15,15-24,1979
PS527,1994,17597,female,20,15-24,1974
PS52C,1994,18446,female,16,15-24,1978
PS54H,1994,1492,female,15,15-24,1979
PS06A,1994,10441,female,43,35-44,1951
PS05X,1994,27262,male,51,45-59,1943
PS1DS,1994,2653,male,47,45-59,1947
PS1DC,1994,1880,male,26,25-34,1968
PS1BL,1994,9861,male,15,15-24,1979
PS0V6,1994,6148,female,11,0-14,1983
PS1BU,1994,2755,male,9,0-14,1985
