speaker ID,kind of hedge,kind of propositional,sort of hedge,sort of propositional
PS005,,2,1,
PS007,,,4,1
PS008,,,1,
PS01A,,1,,
PS01B,,,2,
PS01F,,1,,
PS01T,,,1,
PS01U,,,2,
PS01V,,1,4,
PS028,,,1,2
PS029,,1,1,2
PS02E,,,6,2
PS02G,,4,9,3
PS02H,,,16,16
PS02K,,,,2
PS02L,1,2,,
PS02X,,,4,1
PS03S,,,8,13
PS03T,,,15,4
PS03U,,,1,
PS03W,2,14,35,34
PS03X,,,3,2
PS03Y,,1,2,
PS040,,,8,7
PS042,,,10,7
PS04B,,1,3,2
PS04F,,,3,
PS04G,,,2,
PS04U,,,155,29
PS04V,,,2,1
PS04X,,,3,
PS04Y,,1,10,19
PS051,,,2,1
PS052,,5,7,3
PS059,,,1,
PS05B,,2,9,6
PS05D,,,6,4
PS05X,,2,7,14
PS065,,1,3,8
PS066,,3,8,3
PS06A,,3,4,3
PS06F,,,3,1
PS07A,,,1,
PS087,6,6,57,19
PS08A,,,6,2
PS08Y,,3,1,18
PS090,,,3,4
PS091,,1,14,6
PS095,,,2,1
PS09E,,,5,7
PS09G,,,,1
PS09T,,,4,2
PS09U,1,,4,3
PS09V,,,1,2
PS09W,,,3,4
PS0A8,,,9,6
PS0AA,,,10,7
PS0AB,,,3,5
PS0AC,,,5,1
PS0AJ,,,2,4
PS0BA,,,,2
PS0BK,4,4,18,8
PS0BL,2,7,2,
PS0BY,,,2,3
PS0CG,1,,9,10
PS0CH,,,6,5
PS0DP,,,1,
PS0E8,,,8,8
PS0E9,,,,1
PS0EB,,3,2,2
PS0EC,,,17,8
PS0EE,2,1,,
PS0EF,,,2,2
PS0F8,,,2,6
PS0F9,1,,2,
PS0FA,,,,1
PS0FF,,,1,1
PS0FG,,,,5
PS0FH,,1,,1
PS0FL,,2,,
PS0FP,,,21,14
PS0FR,,,2,1
PS0FS,,,63,36
PS0FX,,,6,1
PS0G1,,,,1
PS0GK,,,,1
PS0GM,,,6,4
PS0GN,,,1,1
PS0GS,,,1,1
PS0GT,,,,4
PS0H8,,,4,1
PS0H9,,2,16,6
PS0HM,2,4,11,1
PS0HN,,,12,5
PS0HP,1,2,4,3
PS0J1,,1,1,1
PS0J7,,6,3,1
PS0JA,,1,7,1
PS0JJ,,,11,1
PS0JL,,,,1
PS0JX,,2,13,8
PS0K8,,,1,2
PS0KN,,,1,2
PS0KP,,3,1,
PS0LK,,,27,7
PS0LL,,1,2,6
PS0LM,,,3,4
PS0LU,,,4,4
PS0M4,,,11,4
PS0MA,,,1,1
PS0MD,1,,,1
PS0N4,,1,2,3
PS0NB,,,5,2
PS0NR,,2,2,
PS0P0,,,2,
PS0PN,,,18,9
PS0PP,,6,43,10
PS0S0,1,,9,1
PS0S3,,,13,2
PS0S4,1,1,,
PS0SB,,,2,4
PS0SW,,1,2,2
PS0TU,,,2,2
PS0V4,,,22,15
PS0V5,,,20,4
PS0V6,,1,11,3
PS0W2,,1,25,19
PS0W4,,1,76,19
PS0WN,,1,1,
PS0X8,,,7,16
PS0X9,,,5,2
PS0XA,,,1,2
PS0XR,,,3,2
PS101,,2,,9
PS107,1,,4,2
PS10L,,,,1
PS126,4,6,1,1
PS13C,,,1,1
PS13K,,,9,1
PS13N,,,1,
PS14B,,4,8,4
PS14C,,,1,6
PS15U,,2,6,1
PS1A9,,1,8,
PS1AA,,,,1
PS1AD,,,2,3
PS1AG,,,3,
PS1BL,,,,2
PS1BS,,,6,13
