awardYear,category,motivation,name,gender,birth date,birth_continent,birth_countryNow,death_date
1901,Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",Emil von Behring,male,15.3.1854,Europe,Poland,31.3.1917
1901,Peace,"for his lifelong work for international peace conferences, diplomacy and arbitration",Frédéric Passy,male,20.5.1822,Europe,France,12.6.1912
1901,Peace,for his humanitarian efforts to help wounded soldiers and create international understanding,Henry Dunant,male,8.5.1828,Europe,Switzerland,30.10.1910
1901,Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,Jacobus H. van 't Hoff,male,30.8.1852,Europe,the Netherlands,1.3.1911
1901,Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",Sully Prudhomme,male,16.3.1839,Europe,France,7.9.1907
1901,Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Wilhelm Conrad Röntgen,male,27.3.1845,Europe,Germany,10.2.1923
1902,Peace,for his eminently practical administration of the Inter-Parliamentary Union,Albert Gobat,male,21.5.1843,Europe,Switzerland,16.3.1914
1902,Peace,for his untiring and skilful directorship of the Bern Peace Bureau,Élie Ducommun,male,19.2.1833,Europe,Switzerland,7.12.1906
1902,Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,Emil Fischer,male,9.10.1852,Europe,Germany,15.7.1919
1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Hendrik A. Lorentz,male,18.7.1853,Europe,the Netherlands,4.2.1928
1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Pieter Zeeman,male,25.5.1865,Europe,the Netherlands,9.10.1943
1902,Physiology or Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",Ronald Ross,male,13.5.1857,Asia,India,16.9.1932
1902,Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",Theodor Mommsen,male,30.11.1817,Europe,Germany,1.11.1903
1903,Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",Bjørnstjerne Bjørnson,male,8.12.1832,Europe,Norway,26.4.1910
1903,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,Henri Becquerel,male,15.12.1852,Europe,France,25.8.1908
1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Marie Curie,female,7.11.1867,Europe,Poland,4.7.1934
1903,Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",Niels Ryberg Finsen,male,15.12.1860,Europe,Faroe Islands (Denmark),24.9.1904
1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Pierre Curie,male,15.5.1859,Europe,France,19.4.1906
