character,series,production,genre,gender,age,nationality,species,words,like,I mean,you know,sort of,kind of
Julia,Parenthood,US,dramedy,female,middle,American,human,17726,8,26,85,0,24
Crosby,Parenthood,US,dramedy,male,middle,American,human,40039,46,84,207,0,50
Amber,Parenthood,US,dramedy,female,young,American,human,21094,101,58,116,2,24
Zeek,Parenthood,US,dramedy,male,older,American,human,19603,10,115,112,0,19
Haddie,Parenthood,US,dramedy,female,young,American,human,12483,97,37,25,0,12
Sarah,Parenthood,US,dramedy,female,middle,American,human,44579,64,132,330,10,26
Camille,Parenthood,US,dramedy,female,older,American,human,8933,2,13,79,1,4
Max,Parenthood,US,dramedy,male,young,American,human,11208,5,5,16,0,2
Adam,Parenthood,US,dramedy,male,middle,American,human,58206,15,60,207,6,16
Kristina,Parenthood,US,dramedy,female,middle,American,human,38037,54,91,118,25,26
